"Date","Price","Open","High","Low","Vol.","Change %"
"12/22/2016","123.27","123.36","123.42","123.05","585.52K","-0.02%"
"12/21/2016","123.30","123.22","123.38","123.02","510.27K","-0.52%"
"12/20/2016","123.94","124.00","124.00","123.70","16.91K","-0.07%"
"12/19/2016","124.03","123.66","124.16","123.66","11.59K","0.34%"
"12/16/2016","123.61","123.55","123.86","123.53","10.01K","-0.07%"
"12/15/2016","123.70","123.86","123.86","123.30","11.38K","-0.37%"
"12/14/2016","124.16","124.89","125.12","123.84","7.77K","-0.41%"
"12/13/2016","124.67","124.88","125.08","124.62","3.34K","-0.08%"
"12/12/2016","124.77","124.61","124.84","124.31","5.86K","-0.02%"
"12/09/2016","124.80","125.00","125.28","124.67","8.54K","-0.38%"
"12/08/2016","125.28","125.61","125.61","124.95","18.87K","-0.22%"
"12/07/2016","125.55","125.23","125.58","125.14","17.06K","0.28%"
"12/06/2016","125.20","125.16","125.34","125.12","17.02K","0.01%"
"12/05/2016","125.19","125.61","125.77","124.73","52.88K","-0.03%"
"12/02/2016","125.23","124.73","125.38","124.73","42.43K","0.40%"
"12/01/2016","124.73","125.09","125.17","124.34","92.57K","-0.40%"
"11/30/2016","125.23","125.80","125.83","124.98","361.21K","-0.43%"
"11/29/2016","125.77","125.70","125.83","125.36","1.21M","0.10%"
"11/28/2016","125.64","125.36","125.73","125.31","2.51M","0.35%"
"11/25/2016","125.20","125.38","125.39","124.80","1.48M","0.06%"
"11/24/2016","125.12","125.34","125.37","125.09","","-0.19%"
"11/23/2016","125.36","125.72","125.92","124.86","3.08M","-0.27%"
"11/22/2016","125.70","125.80","125.97","125.55","2.26M","0.12%"
"11/21/2016","125.55","125.38","125.88","125.31","1.64M","-0.01%"
"11/18/2016","125.56","125.84","126.16","125.31","1.91M","-0.41%"
"11/17/2016","126.08","126.50","126.77","125.83","1.61M","-0.31%"
"11/16/2016","126.47","126.58","126.69","125.89","1.84M","0.04%"
"11/15/2016","126.42","126.41","126.98","126.33","1.75M","-0.19%"
"11/14/2016","126.66","127.22","127.22","125.95","2.44M","-0.40%"
"11/11/2016","127.17","127.36","127.69","127.08","596.17K","-0.31%"
"11/10/2016","127.56","128.09","128.50","127.30","3.05M","-0.37%"
