Date,Open,High,Low,Close,Adj Close,Volume
2024-03-19,17902.519531,18039.820313,17809.150391,18032.199219,18032.199219,4758740000
2024-03-20,18067.699219,18249.119141,18003.240234,18240.109375,18240.109375,5298380000
2024-03-21,18438.240234,18464.699219,18317.099609,18320.380859,18320.380859,5134740000
2024-03-22,18293.150391,18386.250000,18267.490234,18339.439453,18339.439453,4339930000
2024-03-25,18215.539063,18337.349609,18189.279297,18277.060547,18277.060547,4636940000
2024-03-26,18329.289063,18378.699219,18207.880859,18210.539063,18210.539063,5144260000
2024-03-27,18338.189453,18344.089844,18168.199219,18280.839844,18280.839844,4768930000
2024-03-28,18263.410156,18308.320313,18231.380859,18254.689453,18254.689453,5174450000
2024-04-01,18280.820313,18391.580078,18211.279297,18293.199219,18293.199219,4798390000
2024-04-02,18076.429688,18135.570313,18002.269531,18121.779297,18121.779297,4710280000
2024-04-03,18054.439453,18238.669922,18045.419922,18160.189453,18160.189453,5151500000
2024-04-04,18331.019531,18362.289063,17875.750000,17878.779297,17878.779297,5368700000
2024-04-05,17940.279297,18202.960938,17912.859375,18108.460938,18108.460938,4578130000
2024-04-08,18130.439453,18178.660156,18050.689453,18100.189453,18100.189453,4386700000
2024-04-09,18188.869141,18210.019531,17973.070313,18169.900391,18169.900391,4869190000
2024-04-10,17957.960938,18040.830078,17932.419922,18011.660156,18011.660156,5308250000
