"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2018","15.87","15.87","15.87","15.87","","-4.46%"
"01/25/2018","16.61","16.61","16.61","16.61","","8.49%"
"01/24/2018","15.31","15.31","15.31","15.31","","6.32%"
"01/23/2018","14.40","14.40","14.40","14.40","","2.20%"
"01/22/2018","14.09","14.09","14.09","14.09","","-2.02%"
"01/19/2018","14.38","14.38","14.38","14.38","","-7.17%"
"01/18/2018","15.49","15.49","15.49","15.49","","11.44%"
"01/17/2018","13.90","13.90","13.90","13.90","","-1.97%"
"01/16/2018","14.18","14.18","14.18","14.18","","8.83%"
"01/12/2018","13.03","13.03","13.03","13.03","","-1.21%"
"01/11/2018","13.19","13.19","13.19","13.19","","4.43%"
"01/10/2018","12.63","12.63","12.63","12.63","","3.10%"
"01/09/2018","12.25","12.25","12.25","12.25","","2.34%"
"01/08/2018","11.97","11.97","11.97","11.97","","0.25%"
"01/05/2018","11.94","11.94","11.94","11.94","","0.76%"
"01/04/2018","11.85","11.85","11.85","11.85","","15.61%"
"01/03/2018","10.25","10.25","10.25","10.25","","-6.82%"
"01/02/2018","11.00","11.00","11.00","11.00","","-19.35%"
"12/29/2017","13.64","13.64","13.64","13.64","","5.49%"
"12/28/2017","12.93","12.93","12.93","12.93","","16.59%"
"12/27/2017","11.09","11.09","11.09","11.09","","1.00%"
"12/26/2017","10.98","10.98","10.98","10.98","","2.52%"
"12/22/2017","10.71","10.71","10.71","10.71","","-1.92%"
"12/21/2017","10.92","10.92","10.92","10.92","","3.02%"
"12/20/2017","10.60","10.60","10.60","10.60","","-1.67%"
"12/19/2017","10.78","10.78","10.78","10.78","","1.89%"
"12/18/2017","10.58","10.58","10.58","10.58","","-2.04%"
"12/15/2017","10.80","10.80","10.80","10.80","","-10.60%"
"12/14/2017","12.08","12.08","12.08","12.08","","6.90%"
"12/13/2017","11.30","11.30","11.30","11.30","","0.27%"
"12/12/2017","11.27","11.27","11.27","11.27","","0.00%"
"12/11/2017","11.27","11.27","11.27","11.27","","-9.91%"
"12/08/2017","12.51","12.51","12.51","12.51","","-10.83%"
"12/07/2017","14.03","14.03","14.03","14.03","","2.04%"
"12/06/2017","13.75","13.75","13.75","13.75","","-3.24%"
"12/05/2017","14.21","14.21","14.21","14.21","","-5.20%"
"12/04/2017","14.99","14.99","14.99","14.99","","8.07%"
"12/01/2017","13.87","13.87","13.87","13.87","","1.76%"
"11/30/2017","13.63","13.63","13.63","13.63","","4.05%"
"11/29/2017","13.10","13.10","13.10","13.10","","24.64%"
"11/28/2017","10.51","10.51","10.51","10.51","","-0.10%"
"11/27/2017","10.52","10.52","10.52","10.52","","-0.28%"
"11/24/2017","10.55","10.55","10.55","10.55","","5.08%"
"11/22/2017","10.04","10.04","10.04","10.04","","-2.14%"
"11/21/2017","10.26","10.26","10.26","10.26","","-8.47%"
"11/20/2017","11.21","11.21","11.21","11.21","","-4.43%"
"11/17/2017","11.73","11.73","11.73","11.73","","-5.02%"
"11/16/2017","12.35","12.35","12.35","12.35","","-2.91%"
"11/15/2017","12.72","12.72","12.72","12.72","","6.35%"
"11/14/2017","11.96","11.96","11.96","11.96","","-0.66%"
"11/13/2017","12.04","12.04","12.04","12.04","","-2.90%"
"11/10/2017","12.40","12.40","12.40","12.40","","-1.20%"
"11/09/2017","12.55","12.55","12.55","12.55","","12.96%"
"11/08/2017","11.11","11.11","11.11","11.11","","-2.80%"
"11/07/2017","11.43","11.43","11.43","11.43","","0.62%"
"11/06/2017","11.36","11.36","11.36","11.36","","-5.65%"
"11/03/2017","12.04","12.04","12.04","12.04","","-7.81%"
"11/02/2017","13.06","13.06","13.06","13.06","","5.58%"
"11/01/2017","12.37","12.37","12.37","12.37","","-1.75%"
